_id,admin0pcode,cluster,cluster_id,details,remarks,stock_item_name,stock_item_type
60c003008e856402218b5eee,ET,ESNFI,esnfi,"[{""unit_type_label"":""Kit Item"",""unit_type_id"":""esnfi_plastic_sheeting_tarapaulin"",""unit_type_name"":""Plastic Sheeting / Tarpaulin"",""quantity"":2},{""unit_type_label"":""Kit Item"",""unit_type_id"":""esnfi_rope"",""unit_type_name"":""Rope"",""quantity"":1},{""unit_type_label"":""Kit Item"",""unit_type_id"":""esnfi_blankets"",""unit_type_name"":""Blankets"",""quantity"":2},{""unit_type_label"":""Kit Item"",""unit_type_id"":""esnfi_bed_mat"",""unit_type_name"":""Bed Mat"",""quantity"":2},{""unit_type_label"":""Kit Item"",""unit_type_id"":""mosquito_net"",""unit_type_name"":""Mosquito Net"",""quantity"":2},{""unit_type_label"":""Kit Item"",""unit_type_id"":""esnfi_plates"",""unit_type_name"":""Plates"",""quantity"":2},{""unit_type_label"":""Amount (per HH)"",""unit_type_id"":""esnfi_cups"",""unit_type_name"":""Cups"",""quantity"":4},{""unit_type_label"":""Kit Item"",""unit_type_id"":""esnfi_kettle_jug"",""unit_type_name"":""Kettle/Jug"",""quantity"":1},{""unit_type_label"":""Kit Item"",""unit_type_id"":""esnfi_cooking_pot"",""unit_type_name"":""Cooking Pot"",""quantity"":1},{""unit_type_label"":""Kit Item"",""unit_type_id"":""esnfi_cooking_ladel_125ml"",""unit_type_name"":""Cooking Ladel 125ml"",""quantity"":1},{""unit_type_label"":""Kit Item"",""unit_type_id"":""esnfi_washing_basin_60cm_diameter"",""unit_type_name"":""Washing Basin 60CM Diameter"",""quantity"":1},{""unit_type_label"":""Kit Item"",""unit_type_id"":""esnfi_jerrycan_20l"",""unit_type_name"":""Jerrycan 20L"",""quantity"":1},{""unit_type_label"":""Kit Item"",""unit_type_id"":""esnfi_jerrycan_10l"",""unit_type_name"":""Jerrycan 10L"",""quantity"":1},{""unit_type_label"":""Kit Item"",""unit_type_id"":""esnfi_soap"",""unit_type_name"":""Soap"",""quantity"":10}]",1,Partial ESNFI Kit,partial_esnfi_kit
60c003008e856402218b5eef,ET,ESNFI,esnfi,,1,Cash for Shelter/Rent,cash_for_shelter_rent
60c003008e856402218b5ef0,ET,ESNFI,esnfi,"[{""unit_type_label"":""Kit Item"",""unit_type_id"":""g35_cgi"",""unit_type_name"":""G-35 CGI"",""measure_id"":""piece"",""mearue_name"":""Piece"",""unit_price"":8.75,""total_price"":177,""currency_id"":""usd"",""quantity"":20},{""unit_type_label"":""Kit Item"",""unit_type_id"":""locking_sytem_10"",""unit_type_name"":""Locking System (Gate Latch) 10"",""measure_id"":""piece"",""mearue_name"":""Piece"",""unit_price"":1.24,""total_price"":2,""currency_id"":""usd"",""quantity"":2},{""unit_type_label"":""Kit Item"",""unit_type_id"":""t_hinge_6"",""unit_type_name"":""T-Hinge 6"",""measure_id"":""piece"",""mearue_name"":""Piece"",""unit_price"":0.4,""total_price"":1,""currency_id"":""usd"",""quantity"":2},{""unit_type_label"":""Kit Item"",""unit_type_id"":""nail_12"",""unit_type_name"":""Nail no 12"",""measure_id"":""kg"",""mearue_name"":""KG"",""unit_price"":2.69,""total_price"":5,""currency_id"":""usd"",""quantity"":2},{""unit_type_label"":""Kit Item"",""unit_type_id"":""nail_10"",""unit_type_name"":""Nail no 10"",""measure_id"":""kg"",""mearue_name"":""KG"",""unit_price"":2.69,""total_price"":5,""currency_id"":""usd"",""quantity"":2},{""unit_type_label"":""Kit Item"",""unit_type_id"":""nail_8"",""unit_type_name"":""Nail no 8"",""measure_id"":""kg"",""mearue_name"":""KG"",""unit_price"":2.69,""total_price"":5,""currency_id"":""usd"",""quantity"":2},{""unit_type_label"":""Kit Item"",""unit_type_id"":""roofing_nail"",""unit_type_name"":""Roofing Nail"",""measure_id"":""kg"",""mearue_name"":""KG"",""unit_price"":4.98,""total_price"":15,""currency_id"":""usd"",""quantity"":3},{""unit_type_label"":""Kit Item"",""unit_type_id"":""cash_for_local_material_labor"",""unit_type_name"":""Cash for Local Materials and Labor"",""currency_id"":""usd"",""quantity"":40}]",1,Emergency Shelter Repair Kits (Partial),emergency_shelter_repair_kits_partial
60c003008e856402218b5ef1,ET,ESNFI,esnfi,,1,Emergency Shelter Repair Kits (Full),emergency_shelter_repair_kits_full
60c003008e856402218b5ef2,AF,EiEWG,eiewg,,,EiEWG: Tents (24 sq.m),tents_24_sq_m
60c003008e856402218b5ef3,ET,ESNFI,esnfi,,1,Cash for Shelter - Communal Shelters,cash_for_shelter_communal_shelters
60c003008e856402218b5ef4,ET,ESNFI,esnfi,,1,Cash for Partial Repair - Minor,cash_for_partial_repair_minor
60c003008e856402218b5ef5,ET,ESNFI,esnfi,,1,Emergency Shelter Repair Kits Mixed (Cash + In-Kind),emergency_shelter_repair_kits_mixed_cash_in_kind
60c003008e856402218b5ef6,ET,ESNFI,esnfi,,1,Communal Shelter Construction,communal_shelter_construction
60c003008e856402218b5ef7,ET,ESNFI,esnfi,,1,Minor Shelter Repair - Kits,minor_shelter_repair_kits
60c003008e856402218b5ef8,ET,ESNFI,esnfi,,1,Rehabilitation of Communal Existing Structure,rehabilitation_of_communal_existing_structure
60c003008e856402218b5ef9,ET,ESNFI,esnfi,,1,Transitional Shelter Construction (Poles+CGI),transitional_shelter_construction_poles+cgi
60c003008e856402218b5efa,ET,ESNFI,esnfi,,1,Transitional Shelter Construction (Tukul-Poles+Grass),transitional_shelter_construction_tukul_poles+grass
60c003008e856402218b5efb,ET,ESNFI,esnfi,,1,Transitional Shelter Construction (Tukul-Mud Bricks),transitional_shelter_construction_tukul_mud_bricks
60c003008e856402218b5efc,ET,ESNFI,esnfi,,,Non-Food Items (NFI) In-Kind,nfi_in_kind
60c003008e856402218b5efd,ET,ESNFI,esnfi,,,Non-Food Items (NFI) In-Cash,nfi_in_cash
60c003008e856402218b5efe,ET,ESNFI,esnfi,,1,Construction of Communal Facility,construction_of_communal_facility
60c003008e856402218b5eff,ET,ESNFI,esnfi,,,Emergency Shelter Kit,emergency_shelter_kits
60c003008e856402218b5f00,ET,ESNFI,esnfi,,,Emergency Shelter Construction,emergency_shelter_construction
60c003008e856402218b5f01,ET,ESNFI,esnfi,,,Non-Food Items (NFI) Mixed,nfi_mixed
